Timestamp,RL_Signal,Close,Cash,Holdings,Portfolio_RL
2015-03-07 00:00:00+05:30,-1,376.3,7540.15,0,7540.15
2015-03-08 00:00:00+05:30,1,376.3,14.149999999999636,20,7540.15
2015-03-09 00:00:00+05:30,1,376.3,14.149999999999636,20,7540.15
2015-03-10 00:00:00+05:30,1,365.0,14.149999999999636,20,7314.15
2015-03-11 00:00:00+05:30,-1,360.0,7214.15,0,7214.15
2015-03-12 00:00:00+05:30,1,342.05,31.099999999999454,21,7214.15
2015-03-13 00:00:00+05:30,1,338.05,31.099999999999454,21,7130.15
2015-03-14 00:00:00+05:30,1,330.0,31.099999999999454,21,6961.099999999999
2015-03-15 00:00:00+05:30,1,330.0,31.099999999999454,21,6961.099999999999
2015-03-16 00:00:00+05:30,1,330.0,31.099999999999454,21,6961.099999999999
2015-03-17 00:00:00+05:30,-1,328.55,6930.65,0,6930.65
2015-03-18 00:00:00+05:30,1,313.5,33.649999999999636,22,6930.65
2015-03-19 00:00:00+05:30,1,315.0,33.649999999999636,22,6963.65
2015-03-20 00:00:00+05:30,1,307.15,33.649999999999636,22,6790.949999999999
2015-03-21 00:00:00+05:30,1,305.0,33.649999999999636,22,6743.65
2015-03-22 00:00:00+05:30,1,305.0,33.649999999999636,22,6743.65
2015-03-23 00:00:00+05:30,1,305.0,33.649999999999636,22,6743.65
2015-03-24 00:00:00+05:30,1,279.0,33.649999999999636,22,6171.65
2015-03-25 00:00:00+05:30,1,285.0,33.649999999999636,22,6303.65
2015-03-26 00:00:00+05:30,1,271.1,33.649999999999636,22,5997.85
2015-03-27 00:00:00+05:30,1,265.1,33.649999999999636,22,5865.85
2015-03-28 00:00:00+05:30,1,274.0,33.649999999999636,22,6061.65
2015-03-29 00:00:00+05:30,1,274.0,33.649999999999636,22,6061.65
2015-03-30 00:00:00+05:30,-1,274.0,6061.65,0,6061.65
2015-03-31 00:00:00+05:30,1,285.0,76.64999999999964,21,6061.65
2015-04-01 00:00:00+05:30,1,319.0,76.64999999999964,21,6775.65
2015-04-02 00:00:00+05:30,1,341.0,76.64999999999964,21,7237.65
2015-04-03 00:00:00+05:30,1,341.0,76.64999999999964,21,7237.65
2015-04-04 00:00:00+05:30,1,341.0,76.64999999999964,21,7237.65
2015-04-05 00:00:00+05:30,1,341.0,76.64999999999964,21,7237.65
2015-04-06 00:00:00+05:30,1,341.0,76.64999999999964,21,7237.65
2015-04-07 00:00:00+05:30,1,343.0,76.64999999999964,21,7279.65
2015-04-08 00:00:00+05:30,-1,343.0,7279.65,0,7279.65
2015-04-09 00:00:00+05:30,1,335.0,244.64999999999964,21,7279.65
2015-04-10 00:00:00+05:30,-1,326.5,7101.15,0,7101.15
2015-04-11 00:00:00+05:30,-1,331.05,7101.15,0,7101.15
2015-04-12 00:00:00+05:30,1,331.05,149.09999999999945,21,7101.15
2015-04-13 00:00:00+05:30,1,331.05,149.09999999999945,21,7101.15
2015-04-14 00:00:00+05:30,1,340.6,149.09999999999945,21,7301.7
2015-04-15 00:00:00+05:30,1,340.6,149.09999999999945,21,7301.7
2015-04-16 00:00:00+05:30,1,356.0,149.09999999999945,21,7625.099999999999
2015-04-17 00:00:00+05:30,1,355.5,149.09999999999945,21,7614.599999999999
2015-04-18 00:00:00+05:30,1,357.7,149.09999999999945,21,7660.799999999999
2015-04-19 00:00:00+05:30,1,357.7,149.09999999999945,21,7660.799999999999
2015-04-20 00:00:00+05:30,1,357.7,149.09999999999945,21,7660.799999999999
2015-04-21 00:00:00+05:30,1,333.0,149.09999999999945,21,7142.099999999999
2015-04-22 00:00:00+05:30,1,326.0,149.09999999999945,21,6995.099999999999
